Página;Título;Detalhes;Data;Hora;Link
Licitações;"AVISO DE ADESÃO A REGISTRO DE PREÇOS N.º 14/2022";" AVISO DE ADESÃO A REGISTRO DE PREÇOS N.º 14/2022 O Município de Glória D´Oeste - MT; através da Comissão Permanente de Licitação; nomeada pela Portaria N.º 118/2022; torna público aos interessados que se fará a ADESÃO A ATA DE REGISTRO DE PREÇOS N.º 06/2022 DO PREGÃO PRESENCIAL N.º 09/2022 MUNICÍPIO DE PORTO ESPERIDIÃO - MT – REGISTRO DE PREÇOS PARA AQUISIÇÃO DE 02 (DOIS) VEÍCULOS TIPO MINIVAN; PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE E SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL; de acordo com especificações e condições constantes no[...]";08/06/2022;13:46;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/3219-aviso-de-adesao-a-registro-de-precos-n-14-2022
Licitações;"AVISO DE ADESÃO A REGISTRO DE PREÇOS N.º 10/2022";" AVISO DE ADESÃO A REGISTRO DE PREÇOS N.º 10/2022 O Município de Glória D´Oeste - MT; através da Comissão Permanente de Licitação; nomeada pela Portaria N.º 118/2022; torna público aos interessados que se fará a ADESÃO A ATA DE REGISTRO DE PREÇOS N.º 003/2022 DO PREGÃO PRESENCIAL N.º 002/2021 CONSÓRCIO INTERMUNICIPAL DE DESENVOLVIMENTO ECONÔMICO; SOCIAL; AMBIENTAL E TURÍSTICO DO COMPLEXO NASCENTES DO PANTANAL – CONTRATAÇÃO DE PESSOA JURÍDICA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS DE MÃO-DE-OBRA DE APOIO ADMINISTRATIVO E OPERACIONAL COM SUBORDINAÇÃO E DEDICAÇÃO[...]";03/05/2022;11:04;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/3216-aviso-de-adesao-a-registro-de-precos-n-10-2022
Licitações;"AVISO DE ADESÃO A REGISTRO DE PREÇOS N.º 09/2022";" AVISO DE ADESÃO A REGISTRO DE PREÇOS N.º 09/2022 O Município de Glória D´Oeste - MT; através da Comissão Permanente de Licitação; nomeada pela Portaria N.º 107/2021; torna público aos interessados que se fará a ADESÃO A ATA DE REGISTRO DE PREÇOS N.º 005/2022 DO PREGÃO PRESENCIAL N.º 003/2021 - REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE PESSOA JURÍDICA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE MANUTENÇÃO CORRETIVA E PREVENTIVA; MODERNIZAÇÃO E EXPANSÃO DOS PARQUES DE ILUMINAÇÃO PÚBLICA MUNICIPAIS; EM ATENDIMENTO AO CONSÓRCIO[...]";25/03/2022;10:45;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/3205-aviso-de-adesao-a-registro-de-precos-n-09-2022
Licitações;"ADESÃO A REGISTRO DE PREÇOS N.º 08/2022";" O Município de Glória D´Oeste - MT; através da Comissão Permanente de Licitação; nomeada pela Portaria N.º 107/2021; torna público aos interessados que se fará a ADESÃO A ATA DE REGISTRO DE PREÇOS N.º 001/2021 DO PREGÃO PRESENCIAL - REGISTRO DE PREÇOS N.º 001/2021 CÂMARA MUNICIPAL DE ARAPUTANGA – MT - REGISTRO DE PREÇOS PARA AQUISIÇÃO DE VEÍCULOS ZERO KM; TIPO SUV; conforme quantidades e especificações constantes no Edital; Termo de Referência e seus anexos. Proponente: DOMANI PRIME DISTRIBUIDORA DE VEÍCULOS E PEÇAS LTDA; inscrita no CNPJ sob o n.º[...]";14/03/2022;15:10;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/3194-adesao-a-registro-de-precos-n-08-2022
Licitações;"ADESÃO A REGISTRO DE PREÇOS N.º 006/2022";" ADESÃO A REGISTRO DE PREÇOS N.º 006/2022 O Município de Glória D´Oeste - MT; através da Comissão Permanente de Licitação; nomeada pela Portaria N.º 107/2021; torna público aos interessados que se fará a ADESÃO A ATA DE REGISTRO DE PREÇOS N.º 43/2021 DO PREGÃO PRESENCIAL N.º 25/2021 MUNICÍPIO DE RESERVA DO CABAÇAL – MT - CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NOS SERVIÇOS DE FUNILARIA E PINTURA; COM FORNECIMENTO DE PEÇAS/ACESSÓRIOS SE NECESSÁRIO; SERVIÇOS MECÂNICO E ELÉTRICO; INDEPENDENTE DE MARCA E CATEGORIA PARA MANUTENÇÃO PREVENTIVA E CORRETIVA DOS VEÍCULOS[...]";16/02/2022;10:59;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/3187-adesao-a-registro-de-precos-n-006-2022
Licitações;"ADESÃO N.º 01/2022 -  AQUISIÇÃO DE VEÍCULO; TIPO ÔNIBUS.";;17/01/2022;15:48;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/3174-adesao-n-01-2022-aquisicao-de-veiculo-tipo-onibus
Licitações;"Adesão Nº 04/2021 Contratação de Empresa para Locação de Materiais e Serviços para Promoção de Eventos";"Adesão Nº 04/2021 Contratação de Empresa para Locação de Materiais e Serviços para Promoção de Eventos";26/04/2021;12:58;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/3050-adesao-n-04-2021-contratacao-de-empresa-para-locacao-de-materiais-e-servicos-para-promocao-de-eventos
Licitações;"Adesão Nº 03/2021 Contratação de Empresa Especializada para Prestação de Serviços de Consultoria e Assessoria Contábil e Financeira";"Adesão Nº 03/2021 Contratação de empresa especializada para prestação de serviços em caráter complementar; de consultoria e assessoria contábil; bem como consultoria financeira; de acordo com a nova contabilidade pública; bem como; no acompanhamento das aplicações dos índices obrigatório.";07/04/2021;11:18;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/3049-adesao-n-03-2021-contratacao-de-empresa-especializada-para-prestacao-de-servicos-de-consultoria-e-assessoria-contabil-e-financeira
Licitações;"Adesão Nº 02/2021 -  Aquisição de Massa Asfáltica (PMF) para Manutenção de Ruas e Avenidas";"Adesão Nº 02/2021 - Aquisição de Massa Asfáltica (PMF) para Manutenção de Ruas e Avenidas";24/02/2021;10:50;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/3048-adesao-n-02-2021-aquisicao-de-massa-asfaltica-pmf-para-manutencao-de-ruas-e-avenidas
Licitações;"Adesão Nº 01/2021 - Contratação de Empresa Especializada para Prestação de Serviços de Acesso a Internet";"Adesão Nº 01/2021 - Contratação de Empresa Especializada para Prestação de Serviços de Acesso a Internet com Banda Larga com Velocidade de 155 MB de Download e Upload.";10/02/2021;10:12;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/3047-adesao-n-01-2021-contratacao-de-empresa-especializada-para-prestacao-de-servicos-de-acesso-a-internet
Licitações;"ADESÃO N° 01/2020 - AQUISIÇÃO DE EMULSÃO ASFÁLTICA PARA MANUTENÇÃO DE RUAS E AV.";"ADESÃO N° 01/2020 - AQUISIÇÃO DE EMULSÃO ASFÁLTICA PARA MANUTENÇÃO DE RUAS E AV.";04/02/2020;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2724-adesao-n-01-2020-aquisicao-de-emulsao-asfaltica-para-manutencao-de-ruas-e-av
Licitações;"Adesão Nº 08/2019 - Prestação de Serviços de Confecções de Camisetas e Shorts para Atender a Demanda das Secretarias deste Município.";;27/11/2019;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2699-adesao-n-08-2019-prestacao-de-servicos-de-confeccoes-de-camisetas-e-shorts-para-atender-a-demanda-das-secretarias-deste-municipio
Licitações;"Adesão Nº 10/2019 - Aquisição de um Veículo Tipo Van 0 KM para Transporte de Pessoas; para Atender as Necessidades da Secretaria Municipal de Saúde.";;21/11/2019;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2691-adesao-n-10-2019-aquisicao-de-um-veiculo-tipo-van-0-km-para-transporte-de-pessoas-para-atender-as-necessidades-da-secretaria-municipal-de-saude
Licitações;"Adesão Nº 06/2019 - Aquisição de Material de Apoio Pedagógico para o Ensino Fundamental I e II para Atender as necessidades da Secretaria Municipal de Educação.";;24/10/2019;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2646-adesao-n-06-2019-aquisicao-de-material-de-apoio-pedagogico-para-o-ensino-fundamental-i-e-ii-para-atender-as-necessidades-da-secretaria-municipal-de-educacao
Licitações;"Adesão Nº 09/2019 - Prestação de Serviços para Manutenção em Bombas Injetoras; Serviços Hidráulicos e Injeção Eletrônica em veículos e Máquinas deste Município.";;18/09/2019;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2630-adesao-n-09-2019-prestacao-de-servicos-para-manutencao-em-bombas-injetoras-servicos-hidraulicos-e-injecao-eletronica-em-veiculos-e-maquinas-deste-municipio
Licitações;"Adesão N.º 07/2018 - Prestação de Serviços com levantamento de bens móveis e imóveis do Município de Glória D´Oeste - MT";"Adesão N.º 07/2018 - Prestação de Serviços com levantamento de bens móveis e imóveis do Município de Glória D´Oeste - MT";05/12/2018;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2535-adesao-n-07-2018-prestacao-de-servicos-com-levantamento-de-bens-moveis-e-imoveis-do-municipio-de-gloria-d-oeste-mt
Licitações;"Adesão N.º 05/2019 - Contratação de Serviços de Publicidade e Propaganda de Interesse do Município";"Adesão N.º 05/2019 - Contratação de Serviços de Publicidade e Propaganda de Interesse do Município";20/06/2019;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2516-adesao-n-05-2019-contratacao-de-servicos-de-publicidade-e-propaganda-de-interesse-do-municipio
Licitações;"Adesão N.º 07/2019 - Aquisição de Veículo Tipo Van";"Adesão N.º 07/2019 - Aquisição de Veículo Tipo Van";26/06/2019;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2508-adesao-n-07-2019-aquisicao-de-veiculo-tipo-van
Licitações;"Adesão N.º 03/2019 - Locação de Equipamentos para Promoção de Eventos";"Adesão N.º 03/2019 - Locação de Equipamentos para Promoção de Eventos";31/05/2019;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2504-adesao-n-03-2019-locacao-de-equipamentos-para-promocao-de-eventos
Licitações;"Adesão N.º 04-2019 - Aquisição de Materiais Elétricos para Iluminação Pública - parte 1";"Adesão N.º 04-2019 - Aquisição de Materiais Elétricos para Iluminação Pública - parte 1";11/06/2019;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2503-adesao-n-04-2019-aquisicao-de-materiais-eletricos-para-iluminacao-publica-parte-1
Licitações;"Adesão N.º 01-2019 - Aquisição de Equipamentos Odontológicos";;02/01/2019;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2349-adesao-n-01-2019-aquisicao-de-equipamentos-odontologicos
Licitações;"ADESÃO N° 02-2017 - Locação de Mão de Obra em Diversos Serviços";;11/08/2017;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2212-adesao-n-02-2017-locacao-de-mao-de-obra-em-diversos-servicos
Licitações;"Adesão N° 01-2017 - Contratação de Serviço Técnico Especializado";;13/03/2017;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2211-adesao-n-01-2017-contratacao-de-servico-tecnico-especializado
Licitações;"Adesão N.º 08-2018 - LOCAÇÃO DE MATERIAIS E SERVIÇOS PARA PROMOÇÃO DE EVENTOS DO MUNICÍPIO";;07/11/2018;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2206-adesao-n-08-2018-locacao-de-materiais-e-servicos-para-promocao-de-eventos-do-municipio
Licitações;"Adesão N.º 05/2018 - Aquisição de 01 Ambulância 0 km";;02/07/2018;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/2205-adesao-n-05-2018-aquisicao-de-01-ambulancia-0-km
Licitações;"Adesão N.º 02/2019 - Aquisição de Materiais De Aviamentos";"Adesão N.º 02/2019 - Aquisição de Materiais De Aviamentos";15/02/2019;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/1005-adesao-n-02-2019-aquisicao-de-materiais-de-aviamentos
Licitações;"Adesão N.º 09/2018 - Aquisição de Retroescavadeira";"Adesão N.º 09/2018 - Aquisição de Retroescavadeira";19/12/2018;17:00;https://gloriadoeste.mt.gov.br/transparencia/licitacoes/586-adesao-n-09-2018-aquisicao-de-retroescavadeira
